MsgCounter,Roll,Pitch,Yaw,Roll_Setpoint,Pitch_Setpoint,Yaw_Setpoint,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Battery,Temperature,Longitude,Latitude
151,-13.38,-7.50,254.56,0.00,0.00,180.00,-0.237,0.077,0.954,48.38,-32.00,-104.94,8.12,28.5,25856.0000000,57600.0000000
153,-10.19,-11.00,274.44,0.00,0.00,180.00,-0.132,0.208,0.919,12.31,-12.88,-62.38,8.12,28.5,25856.0000000,57600.0000000
154,-11.00,-10.44,279.88,0.00,0.00,180.00,-0.162,0.137,0.967,1.19,4.50,-46.69,8.12,28.5,25856.0000000,57600.0000000
155,-12.31,-9.81,282.94,0.00,0.00,180.00,-0.195,0.124,0.944,2.44,9.62,-21.75,8.12,28.5,25856.0000000,57600.0000000
156,-13.75,-9.25,282.69,0.00,0.00,180.00,-0.219,0.143,0.881,-17.62,22.69,25.12,8.12,28.5,25856.0000000,57600.0000000
162,-31.88,2.75,239.94,0.00,0.00,180.00,-0.533,-0.087,0.806,-47.50,29.12,54.31,8.12,28.5,25856.0000000,57600.0000000
163,-34.06,4.06,234.44,0.00,0.00,180.00,-0.567,-0.083,0.803,-29.81,9.50,30.44,8.12,28.5,25856.0000000,57600.0000000
164,-33.69,5.19,232.31,0.00,0.00,180.00,-0.553,-0.126,0.824,-7.75,-17.06,-3.94,8.12,28.5,25856.0000000,57600.0000000
165,-30.81,5.62,233.75,0.00,0.00,180.00,-0.480,-0.183,0.862,18.88,-46.12,-37.19,8.12,28.5,25856.0000000,57600.0000000
178,-10.25,-3.56,263.06,0.00,0.00,180.00,-0.078,0.061,0.945,-21.31,-19.25,17.19,8.12,28.5,25856.0000000,57600.0000000
179,-9.06,-2.12,263.06,0.00,0.00,180.00,-0.032,0.107,0.910,-18.88,6.62,-17.12,8.12,28.5,25856.0000000,57600.0000000
180,-11.88,0.06,264.56,0.00,0.00,180.00,-0.132,0.021,0.974,-23.38,47.81,-19.19,8.12,28.5,25856.0000000,57600.0000000
181,-17.62,2.00,264.62,0.00,0.00,180.00,-0.534,-0.312,1.051,-12.62,68.38,-20.81,8.12,28.5,25856.0000000,57600.0000000
183,-19.44,-0.75,272.00,0.00,0.00,180.00,-0.422,0.019,0.850,4.81,53.56,-37.38,8.06,42.5,25856.0000000,57600.0000000
184,-20.69,1.06,275.25,0.00,0.00,180.00,-0.206,-0.055,0.911,-31.75,-14.88,-35.00,8.06,42.5,25856.0000000,57600.0000000
185,-20.25,2.62,277.88,0.00,0.00,180.00,-0.394,-0.050,0.902,-2.44,-15.25,-29.00,8.06,42.5,25856.0000000,57600.0000000
186,-17.75,3.44,282.50,0.00,0.00,180.00,-0.223,0.026,0.894,18.62,-32.81,-59.62,8.06,42.5,25856.0000000,57600.0000000
208,21.56,-2.44,285.00,0.00,0.00,180.00,0.349,0.106,0.872,10.06,-31.25,-15.75,8.06,42.5,25856.0000000,57600.0000000
209,23.62,-2.94,286.38,0.00,0.00,180.00,0.429,0.115,0.834,-8.44,-6.88,-0.38,8.06,42.5,25856.0000000,57600.0000000
